etl_ymd,etl_ymd_dateType,weekday
20180101,2018-01-01,0
20180102,2018-01-02,1
20180103,2018-01-03,2
20180104,2018-01-04,3
20180105,2018-01-05,4
20180106,2018-01-06,5
20180107,2018-01-07,6
20180108,2018-01-08,0
20180109,2018-01-09,1
20180110,2018-01-10,2
20180111,2018-01-11,3
20180112,2018-01-12,4
20180113,2018-01-13,5
20180114,2018-01-14,6
20180115,2018-01-15,0
20180116,2018-01-16,1
20180117,2018-01-17,2
20180118,2018-01-18,3
20180119,2018-01-19,4
20180120,2018-01-20,5
20180121,2018-01-21,6
20180122,2018-01-22,0
20180123,2018-01-23,1
20180124,2018-01-24,2
20180125,2018-01-25,3
20180126,2018-01-26,4
20180127,2018-01-27,5
20180128,2018-01-28,6
20180129,2018-01-29,0
20180130,2018-01-30,1
20180131,2018-01-31,2
20180201,2018-02-01,3
20180202,2018-02-02,4
20180203,2018-02-03,5
20180204,2018-02-04,6
20180205,2018-02-05,0
20180206,2018-02-06,1
20180207,2018-02-07,2
20180208,2018-02-08,3
20180209,2018-02-09,4
20180210,2018-02-10,5
20180211,2018-02-11,6
20180212,2018-02-12,0
20180213,2018-02-13,1
20180214,2018-02-14,2
20180215,2018-02-15,3
20180216,2018-02-16,4
20180217,2018-02-17,5
20180218,2018-02-18,6
20180219,2018-02-19,0
20180220,2018-02-20,1
20180221,2018-02-21,2
20180222,2018-02-22,3
20180223,2018-02-23,4
20180224,2018-02-24,5
20180225,2018-02-25,6
20180226,2018-02-26,0
20180227,2018-02-27,1
20180228,2018-02-28,2
20180301,2018-03-01,3
20180302,2018-03-02,4
20180303,2018-03-03,5
20180304,2018-03-04,6
20180305,2018-03-05,0
20180306,2018-03-06,1
20180307,2018-03-07,2
20180308,2018-03-08,3
20180309,2018-03-09,4
20180310,2018-03-10,5
20180311,2018-03-11,6
20180312,2018-03-12,0
20180313,2018-03-13,1
20180314,2018-03-14,2
20180315,2018-03-15,3
20180316,2018-03-16,4
20180317,2018-03-17,5
20180318,2018-03-18,6
20180319,2018-03-19,0
